partnerCode,cmdCode,flowCode,period,primaryValue,cifvalue,fobvalue,netWgt,grossWgt,qty,altQty,typeCode,freqCode,refPeriodId,refYear,refMonth,reporterCode,reporterISO,reporterDesc,flowDesc,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,isAltQtyEstimated,isNetWgtEstimated,isGrossWgtEstimated,legacyEstimationFlag,isReported,isAggregate,brent_crude_mean,brent_crude_yoy_pct,eurinr_mean,eurinr_vol_std,eurinr_year_end,gbpinr_mean,gbpinr_vol_std,gbpinr_year_end,gold_futures_mean,gold_futures_yoy_pct,jpyinr_mean,jpyinr_vol_std,jpyinr_year_end,nifty_50_mean,nifty_50_yoy_pct,sensex_mean,sensex_yoy_pct,usdinr_mean,usdinr_vol_std,usdinr_year_end,policy_event_flag,primaryValue_lag_1y,primaryValue_lag_3y,primaryValue_lag_5y,primaryValue_rolling_3y_mean,primaryValue_rolling_5y_mean,primaryValue_yoy_growth_rate,netWgt_lag_1y,netWgt_rolling_3y_mean,unit_value,value_vs_3y_mean,wgt_vs_3y_mean,anomaly_pred,anomaly_score
156,85,M,2015,19352567577.0,19352567577.0,0.0,0.0,0.0,0.0,0.0,C,A,20150101,2015,52,699,,,,CHN,China,0,,,H4,HS,True,,,,C00,,0,0,,-1,,False,-1,,False,False,False,0,True,False,53.502261752174014,,71.1216953029121,2.3034035757423967,72.58999633789062,98.0149883401805,3.171270455557014,98.43000030517578,1158.8436502123636,,0.5293063215369009,0.01291713039100009,0.5510900020599365,8283.3866807281,,27349.398301977042,,64.12445996456219,1.6290511382706192,66.45500183105469,0,,,,,,,,,19352567577.0,19352567577.0,0.0,-1,0.15961118762046123
682,27,M,2015,16347779353.0,16347779353.0,0.0,0.0,0.0,0.0,0.0,C,A,20150101,2015,52,699,,,,SAU,Saudi Arabia,0,,,H4,HS,True,,,,C00,,0,0,,-1,,False,-1,,False,False,False,0,True,False,53.502261752174014,,71.1216953029121,2.3034035757423967,72.58999633789062,98.0149883401805,3.171270455557014,98.43000030517578,1158.8436502123636,,0.5293063215369009,0.01291713039100009,0.5510900020599365,8283.3866807281,,27349.398301977042,,64.12445996456219,1.6290511382706192,66.45500183105469,0,,,,,,,,,16347779353.0,16347779353.0,0.0,-1,0.15687790202785035
784,71,X,2015,12302676030.0,0.0,12302676030.0,0.0,0.0,0.0,0.0,C,A,20150101,2015,52,699,,,,ARE,United Arab Emirates,0,,,H4,HS,True,,,,C00,,0,0,,-1,,False,-1,,False,False,False,0,True,False,53.502261752174014,,71.1216953029121,2.3034035757423967,72.58999633789062,98.0149883401805,3.171270455557014,98.43000030517578,1158.8436502123636,,0.5293063215369009,0.01291713039100009,0.5510900020599365,8283.3866807281,,27349.398301977042,,64.12445996456219,1.6290511382706192,66.45500183105469,0,,,,,,,,,12302676030.0,12302676030.0,0.0,-1,0.14846324048023385
368,27,M,2015,11239106374.0,11239106374.0,0.0,0.0,0.0,0.0,0.0,C,A,20150101,2015,52,699,,,,IRQ,Iraq,0,,,H4,HS,True,,,,C00,,0,0,,-1,,False,-1,,False,False,False,0,True,False,53.502261752174014,,71.1216953029121,2.3034035757423967,72.58999633789062,98.0149883401805,3.171270455557014,98.43000030517578,1158.8436502123636,,0.5293063215369009,0.01291713039100009,0.5510900020599365,8283.3866807281,,27349.398301977042,,64.12445996456219,1.6290511382706192,66.45500183105469,0,,,,,,,,,11239106374.0,11239106374.0,0.0,-1,0.14409462217200142
344,71,X,2015,10918346877.0,0.0,10918346877.0,0.0,0.0,0.0,0.0,C,A,20150101,2015,52,699,,,,HKG,Hong Kong,0,,,H4,HS,True,,,,C00,,0,0,,-1,,False,-1,,False,False,False,0,True,False,53.502261752174014,,71.1216953029121,2.3034035757423967,72.58999633789062,98.0149883401805,3.171270455557014,98.43000030517578,1158.8436502123636,,0.5293063215369009,0.01291713039100009,0.5510900020599365,8283.3866807281,,27349.398301977042,,64.12445996456219,1.6290511382706192,66.45500183105469,0,,,,,,,,,10918346877.0,10918346877.0,0.0,-1,0.143289404846629
156,84,M,2015,10584537987.0,10584537987.0,0.0,0.0,0.0,0.0,0.0,C,A,20150101,2015,52,699,,,,CHN,China,0,,,H4,HS,True,,,,C00,,0,0,,-1,,False,-1,,False,False,False,0,True,False,53.502261752174014,,71.1216953029121,2.3034035757423967,72.58999633789062,98.0149883401805,3.171270455557014,98.43000030517578,1158.8436502123636,,0.5293063215369009,0.01291713039100009,0.5510900020599365,8283.3866807281,,27349.398301977042,,64.12445996456219,1.6290511382706192,66.45500183105469,0,,,,,,,,,10584537987.0,10584537987.0,0.0,-1,0.14275304711642745
784,27,M,2015,8545251187.0,8545251187.0,0.0,0.0,0.0,0.0,0.0,C,A,20150101,2015,52,699,,,,ARE,United Arab Emirates,0,,,H4,HS,True,,,,C00,,0,0,,-1,,False,-1,,False,False,False,0,True,False,53.502261752174014,,71.1216953029121,2.3034035757423967,72.58999633789062,98.0149883401805,3.171270455557014,98.43000030517578,1158.8436502123636,,0.5293063215369009,0.01291713039100009,0.5510900020599365,8283.3866807281,,27349.398301977042,,64.12445996456219,1.6290511382706192,66.45500183105469,0,,,,,,,,,8545251187.0,8545251187.0,0.0,-1,0.13794212276638385
842,71,X,2015,8161112935.0,0.0,8161112935.0,0.0,0.0,0.0,0.0,C,A,20150101,2015,52,699,,,,USA,USA,0,,,H4,HS,True,,,,C00,,0,0,,-1,,False,-1,,False,False,False,0,True,False,53.502261752174014,,71.1216953029121,2.3034035757423967,72.58999633789062,98.0149883401805,3.171270455557014,98.43000030517578,1158.8436502123636,,0.5293063215369009,0.01291713039100009,0.5510900020599365,8283.3866807281,,27349.398301977042,,64.12445996456219,1.6290511382706192,66.45500183105469,0,,,,,,,,,8161112935.0,8161112935.0,0.0,-1,0.13581331950828535
784,71,M,2015,8183893534.0,8183893534.0,0.0,0.0,0.0,0.0,0.0,C,A,20150101,2015,52,699,,,,ARE,United Arab Emirates,0,,,H4,HS,True,,,,C00,,0,0,,-1,,False,-1,,False,False,False,0,True,False,53.502261752174014,,71.1216953029121,2.3034035757423967,72.58999633789062,98.0149883401805,3.171270455557014,98.43000030517578,1158.8436502123636,,0.5293063215369009,0.01291713039100009,0.5510900020599365,8283.3866807281,,27349.398301977042,,64.12445996456219,1.6290511382706192,66.45500183105469,0,,,,,,,,,8183893534.0,8183893534.0,0.0,-1,0.13581331950828535
56,71,M,2015,6540542376.0,6540542376.0,0.0,0.0,0.0,0.0,0.0,C,A,20150101,2015,52,699,,,,BEL,Belgium,0,,,H4,HS,True,,,,C00,,0,0,,-1,,False,-1,,False,False,False,0,True,False,53.502261752174014,,71.1216953029121,2.3034035757423967,72.58999633789062,98.0149883401805,3.171270455557014,98.43000030517578,1158.8436502123636,,0.5293063215369009,0.01291713039100009,0.5510900020599365,8283.3866807281,,27349.398301977042,,64.12445996456219,1.6290511382706192,66.45500183105469,0,,,,,,,,,6540542376.0,6540542376.0,0.0,-1,0.12801065925509536
368,85,M,2022,300449100.976,300449100.976,0.0,0.0,0.0,0.0,0.0,C,A,20220101,2022,52,699,,,,IRQ,Iraq,0,,,H6,HS,True,,,,C00,,0,0,,-1,,False,-1,,False,True,False,4,False,True,98.96633461272098,39.479945542058225,82.59736524728628,2.224020515218701,88.22100067138672,97.03307958749625,3.3910504371003816,99.90866088867188,1800.0681269064366,0.13345511665714405,0.5993327853771356,0.031975679177647355,0.6217989921569824,17245.430463237146,7.603968375822823,57842.490328881046,7.4857057431337415,78.57705098665677,2.7095097619451263,82.83509826660156,1,574.244,4014.342,40847.0,3526.0796666666665,10845.1164,523207.08049539913,0.0,0.0,300449100.976,85207.6893827035,0.0,-1,0.12562153759666217
156,29,M,2015,6162354390.0,6162354390.0,0.0,0.0,0.0,0.0,0.0,C,A,20150101,2015,52,699,,,,CHN,China,0,,,H4,HS,True,,,,C00,,0,0,,-1,,False,-1,,False,False,False,0,True,False,53.502261752174014,,71.1216953029121,2.3034035757423967,72.58999633789062,98.0149883401805,3.171270455557014,98.43000030517578,1158.8436502123636,,0.5293063215369009,0.01291713039100009,0.5510900020599365,8283.3866807281,,27349.398301977042,,64.12445996456219,1.6290511382706192,66.45500183105469,0,,,,,,,,,6162354390.0,6162354390.0,0.0,-1,0.12512192746218653
360,27,M,2015,5663240634.0,5663240634.0,0.0,0.0,0.0,0.0,0.0,C,A,20150101,2015,52,699,,,,IDN,Indonesia,0,,,H4,HS,True,,,,C00,,0,0,,-1,,False,-1,,False,False,False,0,True,False,53.502261752174014,,71.1216953029121,2.3034035757423967,72.58999633789062,98.0149883401805,3.171270455557014,98.43000030517578,1158.8436502123636,,0.5293063215369009,0.01291713039100009,0.5510900020599365,8283.3866807281,,27349.398301977042,,64.12445996456219,1.6290511382706192,66.45500183105469,0,,,,,,,,,5663240634.0,5663240634.0,0.0,-1,0.12015754936019196
276,47,X,2022,712739.838,0.0,712739.838,0.0,0.0,0.0,0.0,C,A,20220101,2022,52,699,,,,DEU,Germany,0,,,H6,HS,True,,,,C00,,0,0,,-1,,False,-1,,False,True,False,4,False,True,98.96633461272098,39.479945542058225,82.59736524728628,2.224020515218701,88.22100067138672,97.03307958749625,3.3910504371003816,99.90866088867188,1800.0681269064366,0.13345511665714405,0.5993327853771356,0.031975679177647355,0.6217989921569824,17245.430463237146,7.603968375822823,57842.490328881046,7.4857057431337415,78.57705098665677,2.7095097619451263,82.83509826660156,1,1.001,4410.041,,1776.9750000000001,2139.4812500000003,712026.8101898102,0.0,0.0,712739.838,401.0972793652133,0.0,-1,0.11777215428210808
36,27,M,2015,5389049401.0,5389049401.0,0.0,0.0,0.0,0.0,0.0,C,A,20150101,2015,52,699,,,,AUS,Australia,0,,,H4,HS,True,,,,C00,,0,0,,-1,,False,-1,,False,False,False,0,True,False,53.502261752174014,,71.1216953029121,2.3034035757423967,72.58999633789062,98.0149883401805,3.171270455557014,98.43000030517578,1158.8436502123636,,0.5293063215369009,0.01291713039100009,0.5510900020599365,8283.3866807281,,27349.398301977042,,64.12445996456219,1.6290511382706192,66.45500183105469,0,,,,,,,,,5389049401.0,5389049401.0,0.0,-1,0.11680830085405636
842,30,X,2015,4742511970.0,0.0,4742511970.0,0.0,0.0,0.0,0.0,C,A,20150101,2015,52,699,,,,USA,USA,0,,,H4,HS,True,,,,C00,,0,0,,-1,,False,-1,,False,False,False,0,True,False,53.502261752174014,,71.1216953029121,2.3034035757423967,72.58999633789062,98.0149883401805,3.171270455557014,98.43000030517578,1158.8436502123636,,0.5293063215369009,0.01291713039100009,0.5510900020599365,8283.3866807281,,27349.398301977042,,64.12445996456219,1.6290511382706192,66.45500183105469,0,,,,,,,,,4742511970.0,4742511970.0,0.0,-1,0.11175199237753608
344,71,M,2015,4060836738.0,4060836738.0,0.0,0.0,0.0,0.0,0.0,C,A,20150101,2015,52,699,,,,HKG,Hong Kong,0,,,H4,HS,True,,,,C00,,0,0,,-1,,False,-1,,False,False,False,0,True,False,53.502261752174014,,71.1216953029121,2.3034035757423967,72.58999633789062,98.0149883401805,3.171270455557014,98.43000030517578,1158.8436502123636,,0.5293063215369009,0.01291713039100009,0.5510900020599365,8283.3866807281,,27349.398301977042,,64.12445996456219,1.6290511382706192,66.45500183105469,0,,,,,,,,,4060836738.0,4060836738.0,0.0,-1,0.10724819753823356
784,27,X,2015,4090941994.0,0.0,4090941994.0,0.0,0.0,0.0,0.0,C,A,20150101,2015,52,699,,,,ARE,United Arab Emirates,0,,,H4,HS,True,,,,C00,,0,0,,-1,,False,-1,,False,False,False,0,True,False,53.502261752174014,,71.1216953029121,2.3034035757423967,72.58999633789062,98.0149883401805,3.171270455557014,98.43000030517578,1158.8436502123636,,0.5293063215369009,0.01291713039100009,0.5510900020599365,8283.3866807281,,27349.398301977042,,64.12445996456219,1.6290511382706192,66.45500183105469,0,,,,,,,,,4090941994.0,4090941994.0,0.0,-1,0.10724819753823356
